2026-05-26 15:59:55,807 - INFO - Input path: URL_FR.xlsx | 输入路径: URL_FR.xlsx
2026-05-26 15:59:55,808 - INFO - Output path: URL_SCAN_RESULT_20260526_155951.xlsx | 输出路径: URL_SCAN_RESULT_20260526_155951.xlsx
2026-05-26 15:59:55,833 - INFO - Loaded 714 URLs | 加载了714个URL
2026-05-26 15:59:55,833 - INFO - Start multi-thread scan with 30 threads | 启动30线程多线程扫描
2026-05-26 16:00:03,340 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:03,402 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:03,432 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:03,805 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:04,306 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:04,820 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,014 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,035 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,041 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,143 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,212 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,384 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,591 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:05,870 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:06,101 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:06,136 - INFO - Scan success | 扫描成功: https://api-be.bnpparibas-pf.com -> https://api-be.bnpparibas-pf.com/
2026-05-26 16:00:06,226 - INFO - Scan success | 扫描成功: https://api-it.bnpparibas-pf.com -> https://api-it.bnpparibas-pf.com/
2026-05-26 16:00:06,304 - INFO - Scan success | 扫描成功: https://api-pppt-i.bnpparibas-pf.com -> https://api-pppt-i.bnpparibas-pf.com/
2026-05-26 16:00:06,699 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:06,725 - INFO - Scan success | 扫描成功: https://api-es.bnpparibas-pf.com -> https://api-es.bnpparibas-pf.com/
2026-05-26 16:00:06,785 - INFO - Scan success | 扫描成功: https://api-ppes-i.bnpparibas-pf.com -> https://api-ppes-i.bnpparibas-pf.com/
2026-05-26 16:00:06,908 - INFO - Scan success | 扫描成功: https://api-de.uat.staging.bnpparibas-pf.com -> https://api-de.uat.staging.bnpparibas-pf.com/
2026-05-26 16:00:06,939 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:06,975 - INFO - Scan success | 扫描成功: https://api-de-i.uat.staging.bnpparibas-pf.com -> https://api-de-i.uat.staging.bnpparibas-pf.com/
2026-05-26 16:00:07,026 - INFO - Scan success | 扫描成功: https://api-de-i.bnpparibas-pf.com -> https://api-de-i.bnpparibas-pf.com/
2026-05-26 16:00:07,105 - INFO - Scan success | 扫描成功: https://api-de.bnpparibas-pf.com -> https://api-de.bnpparibas-pf.com/
2026-05-26 16:00:07,391 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:07,518 - INFO - Scan success | 扫描成功: https://api-ppit.bnpparibas-pf.com -> https://api-ppit.bnpparibas-pf.com/
2026-05-26 16:00:07,527 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:07,539 - INFO - Scan success | 扫描成功: https://api-ppde-i.bnpparibas-pf.com -> https://api-ppde-i.bnpparibas-pf.com/
2026-05-26 16:00:07,589 - INFO - Scan success | 扫描成功: https://api-dvt.staging.bnpparibas-pf.com -> https://api-dvt.staging.bnpparibas-pf.com/
2026-05-26 16:00:07,601 - INFO - Scan success | 扫描成功: https://api-ppes.bnpparibas-pf.com -> https://api-ppes.bnpparibas-pf.com/
2026-05-26 16:00:07,674 - INFO - Scan success | 扫描成功: https://api-ppde.bnpparibas-pf.com -> https://api-ppde.bnpparibas-pf.com/
2026-05-26 16:00:07,788 - INFO - Scan success | 扫描成功: https://api-dvt-i.staging.bnpparibas-pf.com -> https://api-dvt-i.staging.bnpparibas-pf.com/
2026-05-26 16:00:08,034 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:08,230 - INFO - Scan success | 扫描成功: https://api-ppuk.bnpparibas-pf.com -> https://api-ppuk.bnpparibas-pf.com/
2026-05-26 16:00:08,328 - INFO - Scan success | 扫描成功: https://api-ppit-i.bnpparibas-pf.com -> https://api-ppit-i.bnpparibas-pf.com/
2026-05-26 16:00:08,445 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:08,454 - INFO - Scan success | 扫描成功: https://api-es-i.bnpparibas-pf.com -> https://api-es-i.bnpparibas-pf.com/
2026-05-26 16:00:08,684 - INFO - Scan success | 扫描成功: https://api-it-i.bnpparibas-pf.com -> https://api-it-i.bnpparibas-pf.com/
2026-05-26 16:00:08,685 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:08,809 - INFO - Scan success | 扫描成功: https://api-pppt.bnpparibas-pf.com -> https://api-pppt.bnpparibas-pf.com/
2026-05-26 16:00:09,108 - INFO - Scan success | 扫描成功: https://api-ppbe.bnpparibas-pf.com -> https://api-ppbe.bnpparibas-pf.com/
2026-05-26 16:00:10,201 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:10,276 - WARNING - Scan failed | 扫描失败: https://url_initiale, error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://url_initiale/
Call log:
  - navigating to "https://url_initiale/", waiting until "networkidle"
, retry 1
2026-05-26 16:00:10,462 - INFO - Scan success | 扫描成功: https://api-fr-i.bnpparibas-pf.com -> https://api-fr-i.bnpparibas-pf.com/
2026-05-26 16:00:10,656 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:11,578 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:11,881 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:12,362 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:12,552 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:12,647 - INFO - Scan success | 扫描成功: https://api-fr.bnpparibas-pf.com -> https://api-fr.bnpparibas-pf.com/
2026-05-26 16:00:13,986 - INFO - Scan success | 扫描成功: https://api-ppfr-i.bnpparibas-pf.com -> https://api-ppfr-i.bnpparibas-pf.com/
2026-05-26 16:00:14,825 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:14,991 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:15,318 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:15,323 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:15,343 - INFO - Scan success | 扫描成功: https://api-ppfr.bnpparibas-pf.com -> https://api-ppfr.bnpparibas-pf.com/
2026-05-26 16:00:15,451 - INFO - Scan success | 扫描成功: https://api-pt-i.uat.staging.bnpparibas-pf.com -> https://api-pt-i.uat.staging.bnpparibas-pf.com/
2026-05-26 16:00:15,644 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:15,751 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:16,211 - INFO - Scan success | 扫描成功: https://api-ppce.bnpparibas-pf.com -> https://api-ppce.bnpparibas-pf.com/
2026-05-26 16:00:16,268 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:17,054 - INFO - Scan success | 扫描成功: https://api-ppce-i.bnpparibas-pf.com -> https://api-ppce-i.bnpparibas-pf.com/
2026-05-26 16:00:19,085 - INFO - Scan success | 扫描成功: https://apis-de-i.staging.bnpparibas-pf.com -> https://apis-de-i.staging.bnpparibas-pf.com/
2026-05-26 16:00:19,925 - INFO - Scan success | 扫描成功: https://apis-de.staging.bnpparibas-pf.com -> https://apis-de.staging.bnpparibas-pf.com/
2026-05-26 16:00:19,973 - INFO - Scan success | 扫描成功: https://api-pt.uat.staging.bnpparibas-pf.com -> https://api-pt.uat.staging.bnpparibas-pf.com/
2026-05-26 16:00:20,112 - INFO - Scan success | 扫描成功: https://api-ce.bnpparibas-pf.com -> https://api-ce.bnpparibas-pf.com/
2026-05-26 16:00:20,559 - INFO - Scan success | 扫描成功: https://apis-be.staging.bnpparibas-pf.com -> https://apis-be.staging.bnpparibas-pf.com/
2026-05-26 16:00:20,604 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:20,643 - INFO - Scan success | 扫描成功: https://api-pt.bnpparibas-pf.com -> https://api-pt.bnpparibas-pf.com/
2026-05-26 16:00:20,678 - INFO - Scan success | 扫描成功: https://api-ce-i.bnpparibas-pf.com -> https://api-ce-i.bnpparibas-pf.com/
2026-05-26 16:00:20,940 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:21,169 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:21,281 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:22,524 - INFO - Scan success | 扫描成功: https://apis-ce-i.staging.bnpparibas-pf.com -> https://apis-ce-i.staging.bnpparibas-pf.com/
2026-05-26 16:00:22,683 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:22,926 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:23,280 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:23,782 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:23,791 - INFO - Scan success | 扫描成功: https://apis-it.staging.bnpparibas-pf.com -> https://apis-it.staging.bnpparibas-pf.com/
2026-05-26 16:00:24,058 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 16:00:24,261 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:24,354 - INFO - Scan success | 扫描成功: https://apis-ce.staging.bnpparibas-pf.com -> https://apis-ce.staging.bnpparibas-pf.com/
2026-05-26 16:00:24,426 - INFO - Scan success | 扫描成功: https://iamclient-fed-de.bnpparibas-pf.com -> https://iamclient-fed-de.bnpparibas-pf.com/
2026-05-26 16:00:24,499 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 16:00:24,670 - INFO - Scan success | 扫描成功: https://apis-pt.staging.bnpparibas-pf.com -> https://apis-pt.staging.bnpparibas-pf.com/
2026-05-26 16:00:24,771 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
