2026-05-26 15:09:14,090 - INFO - Scan success | 扫描成功: https://api-ppce-i.bnpparibas-pf.com -> https://api-ppce-i.bnpparibas-pf.com/
2026-05-26 15:09:14,744 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:15,007 - INFO - Scan success | 扫描成功: https://api-pppt.bnpparibas-pf.com -> https://api-pppt.bnpparibas-pf.com/
2026-05-26 15:09:15,257 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:15,281 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:15,387 - INFO - Scan success | 扫描成功: https://api-ppce.bnpparibas-pf.com -> https://api-ppce.bnpparibas-pf.com/
2026-05-26 15:09:15,766 - INFO - Scan success | 扫描成功: https://api-pppt-i.bnpparibas-pf.com -> https://api-pppt-i.bnpparibas-pf.com/
2026-05-26 15:09:15,806 - INFO - Scan success | 扫描成功: https://api-ppuk.bnpparibas-pf.com -> https://api-ppuk.bnpparibas-pf.com/
2026-05-26 15:09:15,890 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:16,215 - INFO - Scan success | 扫描成功: https://api-pt.bnpparibas-pf.com -> https://api-pt.bnpparibas-pf.com/
2026-05-26 15:09:16,879 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:16,956 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:17,085 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:17,262 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:17,460 - INFO - Scan success | 扫描成功: https://api-pt.uat.staging.bnpparibas-pf.com -> https://api-pt.uat.staging.bnpparibas-pf.com/
2026-05-26 15:09:17,492 - INFO - Scan success | 扫描成功: https://api-pt-i.uat.staging.bnpparibas-pf.com -> https://api-pt-i.uat.staging.bnpparibas-pf.com/
2026-05-26 15:09:17,738 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:17,956 - WARNING - Scan failed | 扫描失败: https://url_initiale, error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://url_initiale/
Call log:
  - navigating to "https://url_initiale/", waiting until "networkidle"
, retry 2
2026-05-26 15:09:18,232 - INFO - Scan success | 扫描成功: https://apis-be.staging.bnpparibas-pf.com -> https://apis-be.staging.bnpparibas-pf.com/
2026-05-26 15:09:18,304 - INFO - Scan success | 扫描成功: https://api-ppfr-i.bnpparibas-pf.com -> https://api-ppfr-i.bnpparibas-pf.com/
2026-05-26 15:09:18,507 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:18,773 - INFO - Scan success | 扫描成功: https://api-ppfr.bnpparibas-pf.com -> https://api-ppfr.bnpparibas-pf.com/
2026-05-26 15:09:19,500 - INFO - Scan success | 扫描成功: https://apis-de.staging.bnpparibas-pf.com -> https://apis-de.staging.bnpparibas-pf.com/
2026-05-26 15:09:19,536 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:20,174 - INFO - Scan success | 扫描成功: https://apis-de-i.staging.bnpparibas-pf.com -> https://apis-de-i.staging.bnpparibas-pf.com/
2026-05-26 15:09:20,783 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:21,157 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:21,179 - INFO - Scan success | 扫描成功: https://apis-es.staging.bnpparibas-pf.com -> https://apis-es.staging.bnpparibas-pf.com/
2026-05-26 15:09:21,463 - INFO - Scan success | 扫描成功: https://apis-es-i.staging.bnpparibas-pf.com -> https://apis-es-i.staging.bnpparibas-pf.com/
2026-05-26 15:09:22,636 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:22,874 - INFO - Scan success | 扫描成功: https://apis-it.staging.bnpparibas-pf.com -> https://apis-it.staging.bnpparibas-pf.com/
2026-05-26 15:09:23,010 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:23,151 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:23,255 - INFO - Scan success | 扫描成功: https://apis-it-i.staging.bnpparibas-pf.com -> https://apis-it-i.staging.bnpparibas-pf.com/
2026-05-26 15:09:23,462 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:23,616 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:23,790 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:23,860 - INFO - Scan success | 扫描成功: https://apis-uk.staging.bnpparibas-pf.com -> https://apis-uk.staging.bnpparibas-pf.com/
2026-05-26 15:09:23,993 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:24,099 - INFO - Scan success | 扫描成功: https://apis-pt.staging.bnpparibas-pf.com -> https://apis-pt.staging.bnpparibas-pf.com/
2026-05-26 15:09:24,208 - INFO - Scan success | 扫描成功: https://api-uk.bnpparibas-pf.com -> https://api-uk.bnpparibas-pf.com/
2026-05-26 15:09:24,625 - INFO - Scan success | 扫描成功: https://apis-ce-i.staging.bnpparibas-pf.com -> https://apis-ce-i.staging.bnpparibas-pf.com/
2026-05-26 15:09:25,413 - INFO - Scan success | 扫描成功: https://apis-ce.staging.bnpparibas-pf.com -> https://apis-ce.staging.bnpparibas-pf.com/
2026-05-26 15:09:25,462 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:25,647 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:25,688 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:25,886 - INFO - Scan success | 扫描成功: https://api-uk.uat.staging.bnpparibas-pf.com -> https://api-uk.uat.staging.bnpparibas-pf.com/
2026-05-26 15:09:26,954 - INFO - Scan success | 扫描成功: https://apis-fr-i.staging.bnpparibas-pf.com -> https://apis-fr-i.staging.bnpparibas-pf.com/
2026-05-26 15:09:27,005 - INFO - Scan success | 扫描成功: https://apis-fr.staging.bnpparibas-pf.com -> https://apis-fr.staging.bnpparibas-pf.com/
2026-05-26 15:09:28,210 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:28,262 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:28,282 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:28,501 - INFO - Scan success | 扫描成功: https://iamclient-fed-it.bnpparibas-pf.com -> https://iamclient-fed-it.bnpparibas-pf.com/
2026-05-26 15:09:28,560 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:28,569 - INFO - Scan success | 扫描成功: https://iamclient-fed-de.bnpparibas-pf.com -> https://iamclient-fed-de.bnpparibas-pf.com/
2026-05-26 15:09:28,593 - INFO - Scan success | 扫描成功: https://iamclient-fed-it-ppd.bnpparibas-pf.com -> https://iamclient-fed-it-ppd.bnpparibas-pf.com/
